iter	Passed	Remaining
435	1253	1621
436	1255	1617
437	1258	1615
438	1261	1612
439	1265	1610
440	1268	1607
441	1269	1603
442	1272	1600
443	1275	1597
444	1278	1595
445	1281	1591
446	1282	1587
447	1285	1584
448	1288	1581
449	1291	1578
450	1295	1576
451	1297	1572
452	1299	1569
453	1302	1566
454	1304	1562
455	1308	1560
456	1310	1557
457	1313	1554
458	1315	1551
459	1318	1548
460	1321	1544
461	1324	1541
462	1326	1538
463	1329	1535
464	1332	1533
465	1335	1529
466	1338	1527
467	1340	1523
468	1343	1520
469	1346	1518
470	1349	1515
471	1351	1511
472	1354	1509
473	1358	1507
474	1361	1504
475	1363	1500
476	1366	1497
477	1369	1495
478	1372	1493
479	1377	1491
480	1380	1489
481	1382	1485
482	1384	1482
483	1386	1478
484	1388	1474
485	1391	1471
486	1393	1467
487	1396	1465
488	1399	1462
489	1401	1458
490	1403	1455
491	1407	1452
492	1410	1450
493	1412	1446
494	1414	1443
495	1417	1440
496	1421	1438
497	1423	1435
498	1426	1431
499	1428	1428
500	1431	1426
501	1435	1423
502	1437	1420
503	1440	1417
504	1442	1413
505	1444	1410
506	1447	1407
507	1450	1404
508	1453	1402
509	1455	1398
510	1457	1394
511	1459	1391
512	1462	1388
513	1465	1385
514	1468	1383
515	1470	1379
516	1472	1376
517	1474	1372
518	1477	1369
519	1480	1366
520	1482	1363
521	1485	1359
522	1487	1357
523	1489	1353
524	1493	1350
525	1496	1348
526	1498	1344
527	1500	1341
528	1502	1338
529	1505	1335
530	1509	1332
531	1511	1330
532	1514	1326
533	1516	1322
534	1517	1319
535	1520	1315
536	1523	1313
537	1525	1309
538	1528	1307
539	1530	1303
540	1532	1300
541	1534	1296
542	1538	1294
543	1541	1292
544	1544	1289
545	1546	1286
546	1549	1283
547	1552	1280
548	1555	1278
549	1559	1275
550	1561	1272
551	1564	1269
552	1567	1266
553	1569	1263
554	1572	1260
555	1575	1257
556	1577	1254
557	1579	1251
558	1583	1249
559	1586	1246
560	1589	1243
561	1592	1240
562	1594	1237
563	1597	1235
564	1600	1232
565	1603	1229
566	1606	1226
567	1609	1224
568	1611	1220
569	1613	1217
570	1616	1214
571	1618	1211
572	1621	1208
573	1624	1205
574	1626	1202
